Timestamp,Engine,OpType,AvgLatency_ms,P99Latency_ms,OpsPerSec,RamMB,Event
0.1,BASE_ROCKSDB,WRITE,0,0,0,15.9336,NONE
0.2,BASE_ROCKSDB,WRITE,0,0,0,19.6133,NONE
0.3,BASE_ROCKSDB,WRITE,0,0,0,23.25,NONE
0.401,BASE_ROCKSDB,WRITE,0,0,0,26.8789,NONE
0.501,BASE_ROCKSDB,WRITE,0,0,0,30.5273,NONE
0.601,BASE_ROCKSDB,WRITE,0,0,0,34.1758,NONE
0.701,BASE_ROCKSDB,WRITE,0,0,0,37.8555,NONE
0.801,BASE_ROCKSDB,WRITE,0,0,0,41.5156,NONE
0.902,BASE_ROCKSDB,WRITE,0,0,0,45.1602,NONE
1.002,BASE_ROCKSDB,WRITE,0,0,0,48.8203,NONE
1.102,BASE_ROCKSDB,WRITE,0,0,0,52.4688,NONE
1.202,BASE_ROCKSDB,WRITE,0,0,0,56.1484,NONE
1.302,BASE_ROCKSDB,WRITE,0,0,0,59.8125,NONE
1.402,BASE_ROCKSDB,WRITE,0,0,0,63.4648,NONE
1.503,BASE_ROCKSDB,WRITE,0,0,0,67.1406,NONE
1.603,BASE_ROCKSDB,WRITE,0,0,0,70.8164,NONE
1.703,BASE_ROCKSDB,WRITE,0,0,0,74.4961,NONE
1.803,BASE_ROCKSDB,WRITE,0,0,0,78.9219,NONE
1.903,BASE_ROCKSDB,WRITE,0,0,0,82.5977,NONE
2.003,BASE_ROCKSDB,WRITE,0,0,0,22.2695,NONE
2.104,BASE_ROCKSDB,WRITE,0,0,0,25.8594,NONE
2.204,BASE_ROCKSDB,WRITE,0,0,0,29.4883,NONE
2.304,BASE_ROCKSDB,WRITE,0,0,0,33.1875,NONE
2.404,BASE_ROCKSDB,WRITE,0,0,0,36.8438,NONE
2.504,BASE_ROCKSDB,WRITE,0,0,0,40.543,NONE
2.605,BASE_ROCKSDB,WRITE,0,0,0,44.25,NONE
2.705,BASE_ROCKSDB,WRITE,0,0,0,47.9648,NONE
2.805,BASE_ROCKSDB,WRITE,0,0,0,51.6719,NONE
2.905,BASE_ROCKSDB,WRITE,0,0,0,55.3867,NONE
3.005,BASE_ROCKSDB,WRITE,0,0,0,59.0859,NONE
3.105,BASE_ROCKSDB,WRITE,0,0,0,62.7773,NONE
3.206,BASE_ROCKSDB,WRITE,0,0,0,66.5,NONE
3.306,BASE_ROCKSDB,WRITE,0,0,0,70.2031,NONE
3.406,BASE_ROCKSDB,WRITE,0,0,0,73.9023,NONE
3.506,BASE_ROCKSDB,WRITE,0,0,0,77.6172,NONE
3.606,BASE_ROCKSDB,WRITE,0,0,0,83.3789,NONE
3.707,BASE_ROCKSDB,WRITE,0,0,0,79.457,NONE
3.807,BASE_ROCKSDB,WRITE,0,0,0,79.457,NONE
3.907,BASE_ROCKSDB,WRITE,0,0,0,79.457,NONE
4.007,BASE_ROCKSDB,WRITE,0,0,0,79.457,NONE
4.108,BASE_ROCKSDB,WRITE,0,0,0,79.457,NONE
4.208,BASE_ROCKSDB,WRITE,0,0,0,79.457,NONE
